name,region,year,population,Deaths,income,lifeExpectancy
East of England,Cardiovascular diseases,2013,2146.143699,124.7562944,258.947688,1887.196039
East of England,Neoplasms,2013,3064.091085,141.7189182,174.4302964,2889.660807
East of England,other conditions,2013,14675.52623,169.0529403,10912.1651,3763.362314
East of England,Cardiovascular diseases,2014,2114.818692,122.7473148,258.8879145,1855.930805
East of England,Neoplasms,2014,3058.583433,142.0785595,174.3020973,2884.281355
East of England,other conditions,2014,14668.59746,169.3285228,10914.67901,3753.91963
East of England,Cardiovascular diseases,2015,2089.574995,121.282435,259.0315019,1830.543522
East of England,Neoplasms,2015,3043.580509,142.0528179,174.3277998,2869.252728
East of England,other conditions,2015,14624.73099,169.7901887,10914.93979,3709.792381
East of England,Cardiovascular diseases,2016,2086.649975,119.2709954,260.6486707,1826.001332
East of England,Neoplasms,2016,3071.460884,142.8438607,176.1162913,2895.344611
East of England,other conditions,2016,14664.03749,169.8539169,10926.79676,3737.241908
East of England,Cardiovascular diseases,2017,2056.587953,116.892964,262.2551477,1794.332834
East of England,Neoplasms,2017,3036.979052,140.9866886,175.2053451,2861.773726
East of England,other conditions,2017,14642.80017,168.1938452,10943.17759,3699.623765
East of England,Cardiovascular diseases,2018,2093.341596,119.9222796,262.3977367,1830.943887
East of England,Neoplasms,2018,3065.994571,142.7101825,176.6270032,2889.367587
East of England,other conditions,2018,14693.6751,169.4568654,10974.81743,3718.858855
East of England,Cardiovascular diseases,2019,2091.409225,119.8044024,262.1414359,1829.267817
East of England,Neoplasms,2019,3059.892017,142.5246791,176.3238773,2883.568159
East of England,other conditions,2019,14702.63136,167.7291455,11048.77366,3653.858896
Greater London,Cardiovascular diseases,1990,5360.810891,284.9544501,344.724898,5016.08603
Greater London,Neoplasms,1990,4488.701698,188.6831081,151.3507932,4337.350921
Greater London,other conditions,1990,17403.93385,223.4505111,11178.34034,6225.594719
Greater London,Cardiovascular diseases,1991,5274.20031,281.010539,339.2582158,4934.942131
Greater London,Neoplasms,1991,4463.8915,188.3225274,153.2875418,4310.603975
Greater London,other conditions,1991,17315.80607,222.9525938,11198.87021,6116.937063
Greater London,Cardiovascular diseases,1992,5064.54859,271.0134707,333.9256363,4730.62299
Greater London,Neoplasms,1992,4361.845022,184.7701877,153.7503644,4208.094675
Greater London,other conditions,1992,17131.49362,219.543423,11216.41648,5915.078346
Greater London,Cardiovascular diseases,1993,4999.621028,269.2095972,328.9960345,4670.625029
Greater London,Neoplasms,1993,4361.793937,185.0601015,157.4037152,4204.390239
Greater London,other conditions,1993,17171.97826,225.5224607,11231.74691,5940.232562
Greater London,Cardiovascular diseases,1994,4840.399155,259.5234715,324.8792631,4515.519927
